callsign,icao,name,prefix,fir
ZLHW,ZLHW,Lanzhou,ZLHW,
ZLLL,ZLLL,Lanzhou ACC - Lanzhou,ZLLL,
ZLXY,ZLXY,Xi'an ACC - Lanzhou,ZLXY,
ZULS,ZULS,Lhasa ACC - Kunming,ZULS,
ZPKM,ZPKM,Kunming,ZPKM,
ZSHA,ZSHA,Shanghai,ZSHA,
ZSSS,ZSSS,Shanghai ACC - Shanghai,ZSSS,
ZSQD,ZSQD,Qingdao ACC - Shanghai,ZSQD,
ZSJN,ZSJN,Jinan ACC - Shanghai,ZSJN,
ZSOF,ZSOF,Hefei ACC - Shanghai,ZSOF,
ZSCN,ZSCN,Nanchang ACC - Shanghai,ZSCN,
ZSAM,ZSAM,Xiamen ACC - Shanghai,ZSAM,
ZUUU,ZUUU,Chengdu ACC - Kunming,ZUUU,
ZUGY,ZUGY,Guiyang ACC - Kunming,ZUGY,
ZPPP,ZPPP,Kunming ACC - Kunming,ZPPP,
ZWUQ,ZWUQ,Urumqi,ZWUQ,
ZWWW,ZWWW,Urumqi ACC - Urumqi,ZWWW,
ZYSH,ZYSH,Shenyang,ZYSH,
ZYTX,ZYTX,Shenyang ACC - Shenyang,ZYTX,
ZYHB,ZYHB,Harbin ACC - Shenyang,ZYHB,
ZYTL,ZYTL,Dalian ACC - Shenyang,ZYTL,
ZMUB,ZMUB,Ulaan Baatar,ZMUB,
