callsign,icao,name,prefix,fir
LFEE,LFEE,Reims (Covers North-East LFFF FL295+),,LFEE
LFEE-N,LFEE-N,Reims North (Covers North-East LFFF FL295+),,LFEE-N
LFEE-S,LFEE-S,Reims South,,LFEE-S
LFPG,LFFF,Paris,LFPG,LFFF
LFFF,LFFF,Paris,LFPG,LFFF
LFMM,LFMM,Marseille,,LFMM
LFRR,LFRR,Brest,,LFRR
LFRR-N,LFRR-N,Brest North,,LFRR-N
LFRR-E,LFRR-E,Brest East (Covers West LFFF FL295+),,LFRR-E
LFUM,LFUM,Marseille Upper,,LFMM
LGGG,LGGG,Athina,,LGGG
LGGG-U,LGGG,Athina-(Above FL325),LGGG-U,LGGG
LGGG-E,LGGG-E,Athina-(RDS sector),LGGG-E,LGGG-E
LGGG-W,LGGG-W,Athina-(KRK sector),LGGG-W,LGGG-W
LGGG-S,LGGG-S,Athina-(MIL sector),LGGG-S,LGGG-S
LGGG-K,LGGG-K,Athina-(KFN sector),LGGG-K,LGGG-K
LGGG-P,LGGG-P,Athina-(PLH sector,LGGG-P,LGGG-P
LGGG-H,LGGG-H,Athina-(KAV sector),LGGG-H,LGGG-H
LGMD,LGMD,Makedonia-(SKP sector),,LGMD
LGMD-U,LGMD,Makedonia-(Above FL325),LGMD-U,LGMD
LGMD-E,LGMD-E,Makedonia-(LMO sector),LGMD-E,LGMD-E
LGMD-K,LGMD-K,Makedonia-(KVL sector),LGMD-K,LGMD-K
LGMD-T,LGMD-T,Makedonia-(TSL sector),LGMD-T,LGMD-T
LHCC,LHCC,Budapest,,LHCC
LIBB,LIBB,Brindisi,,LIBB
LIMM,LIPP,Padova,LIMM,LIPP
LIPP,LIPP,Padova,LIMM,LIPP
LIRR,LIRR,Roma,,LIRR
LJLA,LJLA,Ljubljana,,LJLA
